"","_id.position","_id.week_start","_id.week_end","_id.track","_id.artist","_id.reproductions","_id.track_url","position","week_start","week_end","reproductions","track_url","url","name","artist","album_id","album","number","snd_preview","disc_number","album_release_date","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","explicit","tempo","time_signature","duration_ms","key","mode"
"1", 9,2019-05-17,2019-05-24,Soltera - Remix,Lunay,19467987,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL, 9,"2019-05-17","2019-05-24",19467987,"https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL","https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL","Soltera - Remix","Bad Bunny","2m9Vuc9Q19qhSm6RQmBgsR","Soltera (Remix)", 1,"https://p.scdn.co/mp3-preview/7a67ae1f9a7c28af1ac1cf3c3645f9fb8b9c9e9c?cid=5793b9f79e7e44cd8333d5697cf7550a",1,"2019-05-10",0.795,0.783, -4.271,0.0432,0.361000,0.00e+00,0.4370,0.7990,FALSE, 92.010,4,266086,"F","major"
"2", 8,2019-04-26,2019-05-03,7 rings,Ariana Grande,20230172,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF, 8,"2019-04-26","2019-05-03",20230172,"https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF","https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF","7 rings","Ariana Grande","2fYhqwDWXjbpjaIJPEfKFw","thank u, next",10,NA,1,"2019-02-08",0.778,0.317,-10.732,0.3340,0.592000,0.00e+00,0.0881,0.3270,TRUE,140.048,4,178626,"C#","minor"
"3",10,2018-12-28,2019-01-04,Calma - Remix,Pedro Capó,17560600,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,10,"2018-12-28","2019-01-04",17560600,"https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4","https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4","Calma - Remix","Pedro Capó","1tFnP9PwIMeMIuj92mfswZ","Calma (Remix)", 1,"https://p.scdn.co/mp3-preview/acf9b4cf204f350851f699c3a3a360d413056f0b?cid=5793b9f79e7e44cd8333d5697cf7550a",1,"2018-10-05",0.826,0.773, -4.218,0.0524,0.323000,0.00e+00,0.1430,0.7610,FALSE,126.899,4,238200,"B","minor"
"4", 3,2018-12-07,2018-12-14,All I Want for Christmas Is You,Mariah Carey,23468009,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn, 3,"2018-12-07","2018-12-14",23468009,"https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn","https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn","All I Want for Christmas Is You","Mariah Carey","61ulfFSmmxMhc2wCdmdMkN","Merry Christmas", 2,"https://p.scdn.co/mp3-preview/bbafd15ff484394a0ca106d5fef0a81eeea4ef5b?cid=5793b9f79e7e44cd8333d5697cf7550a",1,"1994-11-01",0.336,0.627, -7.463,0.0384,0.164000,0.00e+00,0.0708,0.3500,FALSE,150.273,4,241106,"G","major"
"5", 9,2020-11-20,2020-11-27,BICHOTA,KAROL G,21577655,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1, 9,"2020-11-20","2020-11-27",21577655,"https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1","https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1","BICHOTA","KAROL G","6LO6I2uJMkc0u7GHBYHa4Y","BICHOTA", 1,NA,1,"2020-10-23",0.863,0.666, -4.158,0.1520,0.212000,4.93e-04,0.1030,0.8380,TRUE,163.908,4,178946,"C#","minor"
"6", 1,2018-08-17,2018-08-24,In My Feelings,Drake,39419339,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ, 1,"2018-08-17","2018-08-24",39419339,"https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ","https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ","In My Feelings","Drake","1ATL5GLyefJaxhQzSPVrLX","Scorpion", 9,NA,2,"2018-06-29",0.835,0.626, -5.833,0.1250,0.058900,6.00e-05,0.3960,0.3500,TRUE, 91.030,4,217925,"C#","major"
"7", 4,2019-12-20,2019-12-27,ROXANNE,Arizona Zervas,32309199,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK, 4,"2019-12-20","2019-12-27",32309199,"https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK","https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK","ROXANNE","Arizona Zervas","6HJDrXs0hpebaRFKA1sF90","ROXANNE", 1,"https://p.scdn.co/mp3-preview/17c8499c72603f1a2726dd121eb245c445d1dd84?cid=5793b9f79e7e44cd8333d5697cf7550a",1,"2019-10-10",0.621,0.601, -5.616,0.1480,0.052200,0.00e+00,0.4600,0.4570,TRUE,116.735,5,163636,"F#","minor"
"8", 6,2020-07-31,2020-08-07,Roses - Imanbek Remix,SAINt JHN,22404832,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5, 6,"2020-07-31","2020-08-07",22404832,"https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5","https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5","Roses - Imanbek Remix","SAINt JHN","6XcYTEonLIpg9NpAbJnqrC","Roses (Imanbek Remix)", 1,"https://p.scdn.co/mp3-preview/857ba479318b91a6ab733143b985fd5f60f74045?cid=5793b9f79e7e44cd8333d5697cf7550a",1,"2019-09-13",0.785,0.721, -5.457,0.0506,0.014900,4.32e-03,0.2850,0.8940,TRUE,121.962,4,176218,"G#","major"
"9", 1,2019-03-01,2019-03-08,7 rings,Ariana Grande,38174455,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF, 1,"2019-03-01","2019-03-08",38174455,"https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF","https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF","7 rings","Ariana Grande","2fYhqwDWXjbpjaIJPEfKFw","thank u, next",10,NA,1,"2019-02-08",0.778,0.317,-10.732,0.3340,0.592000,0.00e+00,0.0881,0.3270,TRUE,140.048,4,178626,"C#","minor"
"10",10,2020-08-14,2020-08-21,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,17215322,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,10,"2020-08-14","2020-08-21",17215322,"https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e","https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e","UN DIA (ONE DAY) (Feat. Tainy)","Bad Bunny","6aqSlutLYNpzSsK4dV5jTr","UN DIA (ONE DAY) (Feat. Tainy)", 1,NA,1,"2020-07-24",0.571,0.693, -8.234,0.0545,0.005360,0.00e+00,0.1730,0.3930,FALSE,168.169,4,232253,"F#","minor"
"11", 1,2019-04-26,2019-05-03,bad guy,Billie Eilish,39122056,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m, 1,"2019-04-26","2019-05-03",39122056,"https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m","https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m","bad guy","Billie Eilish","0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?", 2,NA,1,"2019-03-29",0.701,0.425,-10.965,0.3750,0.328000,1.30e-01,0.1000,0.5620,FALSE,135.128,4,194087,"G","major"
"12",10,2020-10-30,2020-11-06,WAP (feat. Megan Thee Stallion),Cardi B,22120658,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,10,"2020-10-30","2020-11-06",22120658,"https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih","https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih","WAP (feat. Megan Thee Stallion)","Cardi B","2ogiazbrNEx0kQHGl5ZBTQ","WAP (feat. Megan Thee Stallion)", 1,"https://p.scdn.co/mp3-preview/1ca9e7769467092ff12a0aee336488ce1b53501c?cid=5793b9f79e7e44cd8333d5697cf7550a",1,"2020-08-07",0.935,0.454, -7.509,0.3750,0.019400,0.00e+00,0.0824,0.3570,TRUE,133.073,4,187541,"C#","major"
"13",10,2018-09-28,2018-10-05,In My Feelings,Drake,19471596,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,10,"2018-09-28","2018-10-05",19471596,"https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ","https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ","In My Feelings","Drake","1ATL5GLyefJaxhQzSPVrLX","Scorpion", 9,NA,2,"2018-06-29",0.835,0.626, -5.833,0.1250,0.058900,6.00e-05,0.3960,0.3500,TRUE, 91.030,4,217925,"C#","major"
"14", 1,2020-06-19,2020-06-26,ROCKSTAR (feat. Roddy Ricch),DaBaby,37371773,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4, 1,"2020-06-19","2020-06-26",37371773,"https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4","https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4","ROCKSTAR (feat. Roddy Ricch)","DaBaby","623PL2MBg50Br5dLXC9E9e","BLAME IT ON BABY", 7,NA,1,"2020-04-17",0.746,0.690, -7.956,0.1640,0.247000,0.00e+00,0.1010,0.4970,TRUE, 89.977,4,181733,"B","major"
"15", 2,2018-05-18,2018-05-25,One Kiss (with Dua Lipa),Calvin Harris,27907952,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6, 2,"2018-05-18","2018-05-25",27907952,"https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6","https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6","One Kiss (with Dua Lipa)","Calvin Harris","7GEzhoTiqcPYkOprWQu581","One Kiss (with Dua Lipa)", 1,"https://p.scdn.co/mp3-preview/34b3b95afb8e1d34363f01b194b4a729100d3710?cid=5793b9f79e7e44cd8333d5697cf7550a",1,"2018-04-06",0.791,0.862, -3.240,0.1100,0.037000,2.19e-05,0.0814,0.5920,FALSE,123.994,4,214846,"A","minor"
"16",10,2020-01-17,2020-01-24,Don't Start Now,Dua Lipa,28228768,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,10,"2020-01-17","2020-01-24",28228768,"https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg","https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg","Don't Start Now","Dua Lipa","0ix3XtPV1LwmZADsprKxcp","Don't Start Now", 1,"https://p.scdn.co/mp3-preview/ed151225213380a41e5c4af00ff558e25b5875d1?cid=5793b9f79e7e44cd8333d5697cf7550a",1,"2019-10-31",0.794,0.793, -4.521,0.0842,0.012500,0.00e+00,0.0952,0.6770,FALSE,123.941,4,183290,"B","minor"
"17", 4,2018-11-30,2018-12-07,Without Me,Halsey,23228052,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C, 4,"2018-11-30","2018-12-07",23228052,"https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","Without Me","Halsey","0zzrCTzvL4ZmR42xF46Afm","Without Me", 1,NA,1,"2018-10-04",0.752,0.488, -7.050,0.0705,0.297000,9.11e-06,0.0936,0.5330,TRUE,136.041,4,201660,"F#","major"
"18", 3,2020-04-10,2020-04-17,Roses - Imanbek Remix,SAINt JHN,35069879,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI, 3,"2020-04-10","2020-04-17",35069879,"https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI","https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI","Roses - Imanbek Remix","SAINt JHN","3GqSdhWjmMypMwPLtzoFYs","Roses (Imanbek Remix)", 1,"https://p.scdn.co/mp3-preview/97bb46bf1d8c0f4085378c93a41bd885f2fe323f?cid=5793b9f79e7e44cd8333d5697cf7550a",1,"2019-10-09",0.770,0.724, -5.484,0.0495,0.016700,1.07e-02,0.3530,0.8980,TRUE,121.975,4,176840,"G#","major"
"19", 8,2019-02-08,2019-02-15,bloodline,Ariana Grande,27700350,https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX, 8,"2019-02-08","2019-02-15",27700350,"https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX","https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX","bloodline","Ariana Grande","2fYhqwDWXjbpjaIJPEfKFw","thank u, next", 4,NA,1,"2019-02-08",0.758,0.665, -5.188,0.0774,0.081500,1.57e-04,0.2160,0.6430,TRUE,151.976,4,216893,"D","minor"
"20", 6,2019-06-07,2019-06-14,If I Can't Have You,Shawn Mendes,20737271,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz, 6,"2019-06-07","2019-06-14",20737271,"https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz","https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz","If I Can't Have You","Shawn Mendes","1J2BrRxtQjVUa7X9Ne99xD","If I Can't Have You", 1,NA,1,"2019-05-03",0.692,0.809, -4.198,0.0602,0.524000,0.00e+00,0.1470,0.8640,FALSE,123.911,4,190800,"D","major"
"21", 1,2019-03-22,2019-03-29,7 rings,Ariana Grande,31265664,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF, 1,"2019-03-22","2019-03-29",31265664,"https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF","https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF","7 rings","Ariana Grande","2fYhqwDWXjbpjaIJPEfKFw","thank u, next",10,NA,1,"2019-02-08",0.778,0.317,-10.732,0.3340,0.592000,0.00e+00,0.0881,0.3270,TRUE,140.048,4,178626,"C#","minor"
"22", 9,2018-08-03,2018-08-10,Eastside (with Halsey & Khalid),benny blanco,21861142,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao, 9,"2018-08-03","2018-08-10",21861142,"https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao","https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao","Eastside (with Halsey & Khalid)","Halsey","7pkLXlFdpQDfmHujT2AbBK","Eastside (with Halsey & Khalid)", 1,NA,1,"2018-07-12",0.560,0.680, -7.648,0.3210,0.555000,0.00e+00,0.1160,0.3190,FALSE, 89.391,4,173799,"F#","minor"
"23", 3,2019-03-08,2019-03-15,Con Calma,Daddy Yankee,28993620,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m, 3,"2019-03-08","2019-03-15",28993620,"https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m","https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m","Con Calma","Daddy Yankee","1otwHKoQ5KPaiekpYk4tWh","Con Calma", 1,NA,1,"2019-01-24",0.737,0.860, -2.652,0.0593,0.110000,1.94e-06,0.0574,0.6560,FALSE, 93.989,4,193226,"G#","minor"
"24", 4,2019-11-15,2019-11-22,ROXANNE,Arizona Zervas,30284841,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK, 4,"2019-11-15","2019-11-22",30284841,"https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK","https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK","ROXANNE","Arizona Zervas","6HJDrXs0hpebaRFKA1sF90","ROXANNE", 1,"https://p.scdn.co/mp3-preview/17c8499c72603f1a2726dd121eb245c445d1dd84?cid=5793b9f79e7e44cd8333d5697cf7550a",1,"2019-10-10",0.621,0.601, -5.616,0.1480,0.052200,0.00e+00,0.4600,0.4570,TRUE,116.735,5,163636,"F#","minor"
"25", 3,2018-09-14,2018-09-21,In My Feelings,Drake,24669116,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ, 3,"2018-09-14","2018-09-21",24669116,"https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ","https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ","In My Feelings","Drake","1ATL5GLyefJaxhQzSPVrLX","Scorpion", 9,NA,2,"2018-06-29",0.835,0.626, -5.833,0.1250,0.058900,6.00e-05,0.3960,0.3500,TRUE, 91.030,4,217925,"C#","major"
"26", 8,2020-09-04,2020-09-11,Laugh Now Cry Later (feat. Lil Durk),Drake,24263826,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI, 8,"2020-09-04","2020-09-11",24263826,"https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI","https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI","Laugh Now Cry Later (feat. Lil Durk)","Drake","0qGdc7fNq9RNIPEzZufa43","Laugh Now Cry Later (feat. Lil Durk)", 1,NA,1,"2020-08-14",0.761,0.518, -8.871,0.1340,0.244000,3.47e-05,0.1070,0.5220,TRUE,133.976,4,261492,"C","major"
"27", 4,2018-10-26,2018-11-02,Happier,Marshmello,25798861,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99, 4,"2018-10-26","2018-11-02",25798861,"https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","Happier","Marshmello","78EicdHZr5XBWD7llEZ1Jh","Happier", 1,NA,1,"2018-08-17",0.687,0.792, -2.749,0.0452,0.191000,0.00e+00,0.1670,0.6710,FALSE,100.015,4,214289,"F","major"
"28", 3,2020-03-20,2020-03-27,Dance Monkey,Tones And I,31463007,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku, 3,"2020-03-20","2020-03-27",31463007,"https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku","https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku","Dance Monkey","Tones And I","31IDBea3eEs57a0joX6TjN","Dance Monkey", 1,"https://p.scdn.co/mp3-preview/7e70b1eb012b7589a6487169bcd6135889ce89aa?cid=5793b9f79e7e44cd8333d5697cf7550a",1,"2019-05-10",0.825,0.593, -6.401,0.0988,0.688000,1.61e-04,0.1700,0.5400,FALSE, 98.078,4,209754,"F#","minor"
"29", 8,2019-03-15,2019-03-22,Dancing With A Stranger (with Normani),Sam Smith,18604303,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki, 8,"2019-03-15","2019-03-22",18604303,"https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki","https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki","Dancing With A Stranger (with Normani)","Normani","1V9oE8bVilClrk5naqyyvL","Dancing With A Stranger (with Normani)", 1,NA,1,"2019-01-11",0.741,0.520, -7.513,0.0656,0.450000,1.97e-06,0.2220,0.3470,FALSE,102.998,4,171029,"G#","major"
"30", 7,2020-09-04,2020-09-11,Savage Love (Laxed - Siren Beat),Jawsh 685,25664441,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c, 7,"2020-09-04","2020-09-11",25664441,"https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c","https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c","Savage Love (Laxed - Siren Beat)","Jason Derulo","1XMw3pBrYeXzNXZXc84DNw","Savage Love (Laxed - Siren Beat)", 1,"https://p.scdn.co/mp3-preview/d709526bcdffa6683f85c9255c2fd4e7871ba04c?cid=5793b9f79e7e44cd8333d5697cf7550a",1,"2020-06-11",0.767,0.481, -8.520,0.0803,0.234000,0.00e+00,0.2690,0.7610,TRUE,150.076,4,171374,"C","minor"
"31", 1,2019-01-04,2019-01-11,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,32548077,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P, 1,"2019-01-04","2019-01-11",32548077,"https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P","https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","35s58BRTGAEWztPo9WqCIs","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)", 2,NA,1,"2018-12-14",0.760,0.479, -5.574,0.0466,0.556000,0.00e+00,0.0703,0.9130,FALSE, 89.911,4,158040,"D","major"
"32", 8,2019-02-22,2019-03-01,thank u, next,Ariana Grande,21552414,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ, 8,"2019-02-22","2019-03-01",21552414,"https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ","https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ","thank u, next","Ariana Grande","2fYhqwDWXjbpjaIJPEfKFw","thank u, next",11,NA,1,"2019-02-08",0.717,0.653, -5.634,0.0658,0.229000,0.00e+00,0.1010,0.4120,TRUE,106.966,4,207320,"C#","major"
"33", 5,2018-11-09,2018-11-16,Without Me,Halsey,22733282,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C, 5,"2018-11-09","2018-11-16",22733282,"https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","Without Me","Halsey","0zzrCTzvL4ZmR42xF46Afm","Without Me", 1,NA,1,"2018-10-04",0.752,0.488, -7.050,0.0705,0.297000,9.11e-06,0.0936,0.5330,TRUE,136.041,4,201660,"F#","major"
"34", 4,2020-04-10,2020-04-17,Don't Start Now,Dua Lipa,31564263,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62, 4,"2020-04-10","2020-04-17",31564263,"https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62","https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62","Don't Start Now","Dua Lipa","7fJJK56U9fHixgO0HQkhtI","Future Nostalgia", 2,"https://p.scdn.co/mp3-preview/ccada72f07a920a7a2a29b0c85be4ca87c21ec78?cid=5793b9f79e7e44cd8333d5697cf7550a",1,"2020-03-27",0.793,0.793, -4.521,0.0830,0.012300,0.00e+00,0.0951,0.6790,FALSE,123.950,4,183290,"B","minor"
