"","_id.position","_id.week_start","_id.week_end","_id.track","_id.artist","_id.reproductions","_id.track_url","position","week_start","week_end","reproductions","track_url","url","name","artist","album_id","album","number","snd_preview","disc_number","album_release_date","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","explicit","tempo","time_signature","duration_ms","key","mode"
"11",45,2019-12-20,2019-12-27,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,13453624,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg,45,"2019-12-20","2019-12-27",13453624,"https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg","https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg","Let It Snow! Let It Snow! Let It Snow!","Dean Martin","5I48ENiZiaZZSOpec6PdS5","A Winter Romance", 2,NA, 1,"1959-01-01",0.451,0.2400,-14.014,0.0351,0.912000,2.45e-06,0.1750,0.7010,FALSE,134.009,4,117146,"C#","major"
"12",50,2019-07-19,2019-07-26,Happier,Marshmello, 9640741,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,50,"2019-07-19","2019-07-26", 9640741,"https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","Happier","Marshmello","78EicdHZr5XBWD7llEZ1Jh","Happier", 1,NA, 1,"2018-08-17",0.687,0.7920, -2.749,0.0452,0.191000,0.00e+00,0.1670,0.6710,FALSE,100.015,4,214289,"F","major"
"13",12,2019-11-22,2019-11-29,HIGHEST IN THE ROOM,Travis Scott,20952367,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,12,"2019-11-22","2019-11-29",20952367,"https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW","https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW","HIGHEST IN THE ROOM","Travis Scott","2uDTi1PlpSpvAv7IRAoAEU","HIGHEST IN THE ROOM", 1,"https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=5793b9f79e7e44cd8333d5697cf7550a", 1,"2019-10-04",0.598,0.4270, -8.764,0.0317,0.054600,5.83e-06,0.2100,0.0605,TRUE, 76.469,4,175720,"G","minor"
"14",23,2020-06-26,2020-07-03,La Jeepeta - Remix,Nio Garcia,13797232,https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70,23,"2020-06-26","2020-07-03",13797232,"https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70","https://open.spotify.com/track/1mohfLaTJtB2RplHLQVM70","La Jeepeta - Remix","Anuel AA","5emzM1P5GGeroiivNQgCq4","La Jeepeta (Remix)", 1,"https://p.scdn.co/mp3-preview/ac250bbe1987ff1067ea0fff6ac868a1411372ae?cid=5793b9f79e7e44cd8333d5697cf7550a", 1,"2020-04-24",0.815,0.7150, -4.650,0.2070,0.300000,4.83e-06,0.0910,0.7860,TRUE,176.007,4,345240,"E","minor"
"15",25,2020-05-01,2020-05-08,Boss Bitch,Doja Cat,15082961,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k,25,"2020-05-01","2020-05-08",15082961,"https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k","https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k","Boss Bitch","Doja Cat","4pmyFpGicLLIgNPc1TQXKc","Boss Bitch", 1,"https://p.scdn.co/mp3-preview/42847ffa3c83fcfce624d09a8d3d39a15d53e199?cid=5793b9f79e7e44cd8333d5697cf7550a", 1,"2020-01-23",0.707,0.9550, -4.593,0.2220,0.127000,0.00e+00,0.2020,0.5750,FALSE,125.989,4,134239,"A#","minor"
"16", 3,2019-03-08,2019-03-15,Con Calma,Daddy Yankee,28993620,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m, 3,"2019-03-08","2019-03-15",28993620,"https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m","https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m","Con Calma","Daddy Yankee","1otwHKoQ5KPaiekpYk4tWh","Con Calma", 1,NA, 1,"2019-01-24",0.737,0.8600, -2.652,0.0593,0.110000,1.94e-06,0.0574,0.6560,FALSE, 93.989,4,193226,"G#","minor"
"17",28,2018-02-02,2018-02-09,These Days (feat. Jess Glynne, Macklemore & Dan Caplen),Rudimental,12129784,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,28,"2018-02-02","2018-02-09",12129784,"https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x","https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Jess Glynne","2sjjFDjZSCYD5eBCsi0fDW","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)", 1,"https://p.scdn.co/mp3-preview/57f9b45cd318070b04945fc6c8a7e50eaa7f8971?cid=5793b9f79e7e44cd8333d5697cf7550a", 1,"2018-01-19",0.653,0.8090, -4.057,0.0474,0.194000,0.00e+00,0.1650,0.5500,FALSE, 92.213,4,210772,"C","major"
"18",45,2018-08-03,2018-08-10,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,11361828,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,45,"2018-08-03","2018-08-10",11361828,"https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW","https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW","Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez","3N7eWDCvfWv34xWNohdHjO","Back To You (From 13 Reasons Why – Season 2 Soundtrack)", 1,NA, 1,"2018-05-10",0.601,0.7240, -4.856,0.0486,0.094500,1.68e-06,0.1200,0.5080,FALSE,102.061,4,207904,"F#","major"
"19", 8,2019-02-22,2019-03-01,thank u, next,Ariana Grande,21552414,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ, 8,"2019-02-22","2019-03-01",21552414,"https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ","https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ","thank u, next","Ariana Grande","2fYhqwDWXjbpjaIJPEfKFw","thank u, next",11,NA, 1,"2019-02-08",0.717,0.6530, -5.634,0.0658,0.229000,0.00e+00,0.1010,0.4120,TRUE,106.966,4,207320,"C#","major"
"20",32,2019-12-13,2019-12-20,Rockin' Around The Christmas Tree,Brenda Lee,14078309,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,32,"2019-12-13","2019-12-20",14078309,"https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97","https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97","Rockin' Around The Christmas Tree","Brenda Lee","34wa3zf2prXFMk47t9zHFG","Merry Christmas From Brenda Lee", 1,NA, 1,"1964-10-19",0.589,0.4720, -8.749,0.0502,0.614000,0.00e+00,0.5050,0.8980,FALSE, 67.196,4,126266,"G#","major"
